#Age	d18O
#(yr BP)	(‰)
2272.4	-44.21
2279.4	-44.03
2286.4	-44.72
2293.3	-43.03
2300.0	-44.01
2306.6	-45.44
2313.8	-46.1
2321.5	-44.66
2329.2	-45.75
2336.5	-45.19
2343.7	-45.08
2351.6	-44.07
2359.4	-44.59
2367.1	-43.89
2374.9	-45.36
2382.1	-45.04
2389.3	-43.93
2396.5	-44.05
2403.8	-45.07
2411.4	-44.51
2419.0	-44.9
2426.3	-44.05
2433.5	-44.81
2440.7	-44.07
2448.3	-44.83
2456.4	-45.55
2464.4	-45.85
2472.5	-44.66
2480.6	-44.65
2488.6	-46.08
2496.5	-44.86
2504.2	-44.59
2511.9	-44.48
2519.8	-44.99
2527.8	-45.5
2535.5	-44.51
2543.4	-44.39
2551.3	-45.04
2559.3	-46.64
2567.1	-45.38
2574.7	-43.87
2582.4	-45.63
2590.3	-45.89
2598.6	-45.35
2606.8	-45.53
2614.4	-43.54
2621.5	-45.07
2628.6	-43.99
2635.8	-44.99
2643.1	-45.07
2650.5	-43.49
2657.9	-44.14
2665.5	-44.73
2673.1	-45.44
2680.9	-45.59
2688.8	-44.61
2696.7	-44.5
2704.2	-44.11
2711.4	-44.5
2718.6	-43.55
2726.0	-44.84
2733.6	-44.64
2741.2	-44.01
2748.9	-44.62
2756.7	-43.97
2764.5	-45.82
2772.3	-44.93
2779.9	-44
2787.6	-44.84
2795.0	-44.98
2802.0	-43.52
2809.1	-42.94
2816.3	-44.07
2823.9	-44.41
2831.4	-44.61
2838.9	-45.23
2846.4	-43.62
2854.0	-44.36
2861.4	-43.17
2868.7	-44.27
2876.0	-44.84
2883.2	-44.26
2890.4	-44.11
2897.5	-43.3
2904.8	-42.52
2912.1	-44.71
2919.5	-45.29
2927.1	-44.48
2934.8	-44.92
2942.6	-44.5
2950.3	-44.44
2958.1	-44.33
2965.8	-43.81
2973.6	-44.21
2981.5	-44.1
2989.2	-44.52
2996.7	-43.98
3004.2	-45.06
3011.7	-44.47
3019.3	-44.67
3027.0	-44.05
3034.7	-45.23
3042.4	-43.85
3050.3	-45.57
3058.2	-45.33
3066.2	-45.87
3074.4	-45.11
3082.6	-44.75
3090.4	-44.95
3097.9	-43.5
3105.4	-44.87
3113.3	-44.76
3121.6	-45.61
3130.1	-45.49
3138.2	-43.96
3145.9	-44.13
3153.7	-45.05
3161.8	-45.44
3170.5	-45.65
3179.1	-45.13
3187.0	-44.31
3194.0	-43.59
3201.0	-42.6
3208.5	-44.85
3216.5	-44
3224.4	-44.8
3232.5	-45
3240.5	-44.41
