#Age	d18O
#(yr BP)	(‰)
4275.9	-36.62
4294.6	-36.20
4313.1	-37.23
4331.0	-36.03
4348.6	-36.08
4366.0	-36.33
4383.4	-35.47
4401.0	-36.17
4419.0	-37.06
4437.0	-35.65
4454.9	-36.16
4472.8	-34.98
4490.7	-36.80
4508.6	-36.30
4526.6	-35.78
4545.1	-36.68
4564.3	-36.09
4583.5	-35.59
4602.7	-36.85
4622.0	-36.71
4640.8	-37.16
4659.3	-37.47
4678.1	-37.41
4697.1	-36.23
4716.2	-35.34
4735.2	-35.08
4754.2	-36.48
4773.2	-36.89
4792.1	-36.43
4811.1	-36.35
4830.0	-35.55
4848.9	-37.13
4867.4	-36.34
4885.3	-36.51
4903.3	-35.05
4921.3	-34.97
4939.2	-36.70
4957.2	-35.66
4975.4	-35.62
4994.6	-37.44
5014.7	-37.52
5034.8	-36.83
5054.9	-35.96
5074.6	-36.54
5093.9	-36.06
5112.9	-36.23
5132.0	-36.84
5151.0	-37.90
5170.0	-36.58
5189.8	-36.72
5210.4	-37.68
5231.0	-37.70
5251.4	-36.83
5271.4	-37.54
5290.4	-36.41
5308.2	-36.41
5326.0	-36.10
5343.8	-36.28
5362.3	-35.51
5382.1	-37.18
5402.4	-36.50
5422.9	-36.84
5443.3	-36.31
5463.4	-37.03
5482.4	-35.81
5501.6	-36.27
5521.6	-36.95
5541.6	-37.49
5561.6	-37.50
5581.6	-37.56
5601.3	-36.98
5620.0	-35.48
5638.0	-36.95
5656.1	-36.20
5675.9	-35.67
5695.3	-35.95
5713.6	-36.93
5732.7	-37.55
5751.7	-36.06
5770.8	-37.64
5789.9	-37.41
5808.8	-36.49
5827.4	-37.29
5846.0	-36.10
5864.6	-37.21
5883.3	-36.62
5903.4	-36.17
5925.5	-35.70
5948.3	-36.43
5970.7	-37.07
5992.3	-37.21
6013.2	-36.05
6034.8	-37.58
6056.7	-36.25
6078.1	-37.31
6099.0	-36.65
6120.0	-37.21
6140.6	-36.47
6161.1	-37.17
6182.0	-36.09
6203.1	-36.46
6224.2	-36.52
6245.0	-34.63
6265.4	-36.36
6286.4	-36.79
6308.0	-37.76
6329.1	-36.94
6349.3	-37.26
6369.7	-36.25
6390.0	-37.82
6410.3	-36.63
6430.6	-35.31
6451.0	-35.87
6471.4	-37.27
6491.7	-36.67
6512.1	-37.41
6532.4	-36.95
6551.8	-35.54
6571.3	-36.78
6591.6	-36.79
6611.9	-36.39
6632.2	-35.97
6652.6	-36.27
6672.4	-36.70
6691.5	-36.21
6710.7	-36.95
6729.8	-36.20
6750.1	-36.66
6771.3	-38.34
6792.5	-37.30
6813.8	-37.43
6834.9	-36.50
6855.8	-35.92
6876.4	-37.56
6897.1	-38.20
6918.1	-36.74
6939.1	-36.66
6960.5	-37.00
6982.1	-37.27
7003.7	-37.69
7025.2	-37.43
7046.5	-36.99
7067.7	-36.24
7088.8	-37.28
7109.9	-37.38
7131.0	-37.74
7152.0	-36.14
7172.7	-36.87
7193.0	-37.62
7213.0	-37.06
7233.0	-36.51
7253.6	-37.57
7274.6	-36.18
7295.6	-36.70
7316.7	-37.94
7337.6	-36.70
7358.4	-37.89
7379.3	-35.79
7400.2	-36.47
7421.9	-37.69
7444.3	-37.13
7466.8	-37.40
7489.3	-37.08
7511.8	-36.38
7534.5	-37.28
7557.3	-37.32
7579.2	-36.94
7600.1	-36.93
7621.9	-37.32
7644.5	-37.22
7667.1	-37.49
7689.5	-38.19
7711.4	-37.03
7733.1	-36.82
7754.9	-37.55
7776.8	-37.45
7798.3	-37.07
7819.5	-38.20
7840.6	-36.61
7861.9	-37.97
7885.4	-36.25
7909.3	-37.20
7931.4	-36.42
7953.2	-37.81
7975.2	-37.34
7998.1	-38.01
8021.9	-37.91
8045.7	-37.26
8069.4	-37.38
8092.5	-37.78
8114.9	-36.62
8137.4	-36.71
8159.9	-37.17
8183.3	-37.02
8207.7	-36.85
8232.3	-37.84
8257.1	-36.70
8281.1	-36.91
8304.1	-36.32
8327.7	-37.88
8352.0	-37.22
8376.4	-37.57
8400.7	-37.23
8425.1	-37.28
8449.8	-36.17
